"families"	"mu"	"A"	"alpha"	"c"	"p"	"b"
"2009.11.12.6.12.19"	0.0135105280499766	835.39022290732	1.04528272272589e-07	0.000588696612317473	1.50519559868022	0.805899199310656
"2009.11.12.6.12.40"	0.0122623717780229	916.632341010722	2.94848938118643e-07	0.000492017549600725	1.4618787935014	0.798093178479406
"2009.9.11.0.11.15"	0.0190842512166038	857.543831847202	1.64580709902528e-07	0.000659602294054065	1.58279234247354	0.790359531537924
"2009.9.12.20.50.43"	0.0137267683614325	817.513900923731	1.10843704794945e-06	0.000585367999225184	1.49969687946273	0.728156394952029
"2009.9.12.21.0.19"	0.00238177565633061	702.112956118453	4.49385626447751e-07	0.00116705996347511	1.83071246597791	0.726221622719503
"2009.9.12.21.1.54"	9.96175211745623e-07	7.06553971740717e+256	62.281499744035	1.58571331349886e+51	1.10435047960184	0.751450612648291
"2009.9.12.21.4.29"	0.0210173239957692	734.780360409604	2.27914391736633e-08	0.000885665976239897	1.67125493204975	0.785845781437166
"2009.9.12.21.7.33"	0.0152158256862832	716.947443378595	8.96794023327424e-08	0.000822899278198236	1.605833900957	0.732969525467807
"2009.9.12.21.8.27"	0.0210822190987034	1093.10921435818	6.67857297590405e-07	0.000796135390972162	1.88177524176089	0.793632235253826
"2010.3.17.17.24.4"	0.0202243423473576	705.633584824191	4.51237446918704e-08	0.000865936667033909	1.64327503115988	0.706076669029553
"2010.3.17.7.17.47"	0.00544831304938881	889.379526304317	4.21226240465843e-10	0.000555521711523002	1.49822486623329	0.709511928326524
"2010.3.19.1.19.56"	0.0190079899725307	923.420916543478	1.04263475257978e-10	0.000674794328869346	1.6410460539864	0.711054559867868
"2010.3.19.2.19.57"	0.0202797111562967	1061.85490914714	5.46484777084516e-07	0.000572062162120666	1.62365714824843	0.709935682571811
"2010.5.16.15.30.36"	0.0671296661528644	434.801465426638	4.51342340174107e-07	0.00324046331927768	2.50334571673106	0.849428726407155
"2010.5.16.15.33.40"	0.0543494865865379	522.604110030818	8.73221006197288e-08	0.00199153228669436	2.09972369329066	0.86192319261969
"2010.7.24.23.35.24"	0.0255134518519451	877.502547591786	1.43887654967176e-06	0.000833759748757004	1.75002479785282	0.784829327232404
"2010.8.10.12.11.46"	0.0172002193542037	816.904403959886	1.38875488110537e-07	0.000918912488614341	1.76244713432566	0.759816575610283
"2010.8.10.5.10.52"	0.0120224258658882	756.995488943492	2.22806433898358e-08	0.000672597752937263	1.5224227203108	0.785491973025986
"2010.8.10.6.5.16"	0.0217512548806618	1024.71432981865	1.94113518073705e-07	0.000686738344513136	1.71562379340177	0.708639604644924
"2010.8.10.9.13.42"	0.0210857987603265	961.050941533425	2.88768134168874e-07	0.000712895606926383	1.7028782722137	0.725922647608211
"2010.8.13.21.32.27"	0.0116082473481466	1453.00308261884	9.93505353068582e-08	0.000212668127215955	1.31626200882348	0.726876195523015
"2010.8.13.22.48.23"	0.0061613224423347	1206.20781394856	1.65731438352367e-08	0.000297544972456539	1.36301978273714	0.705661657527828
"2010.8.14.22.55.49"	0.00862331423676515	1635.72796297651	3.34470290786214e-37	0.000357258524537697	1.5891886264481	0.704894535336001
"2010.8.15.12.40.2"	0.0160634167614069	1210.58522956445	1.51935288236907e-07	0.000507061823581053	1.62350931830224	0.734582869085725
"2010.8.15.13.42.57"	0.00693994544675592	1580.21151488961	1.95594160944319e-07	0.000355145861182629	1.56502944864985	0.709454478445049
"2010.8.15.18.0.20"	0.0186984591055364	1059.04426094932	3.46964623558053e-07	0.00055305793755756	1.59751513920023	0.686884908330582
"2010.8.15.21.15.46"	0.00782853240352193	1196.6772822231	1.58942958109784e-07	0.000299226503050656	1.36579616345073	0.70724507406365
"2010.8.15.21.47.5"	0.0147314360241371	1410.58123100734	2.11703759519936e-10	0.000447499434942113	1.64007590302769	0.671767659623509
"2010.8.15.21.53.27"	0.015902734246427	1116.36030779893	0.000453987089593071	0.000560197820768373	1.63488676400156	0.675264281064708
"2010.8.15.9.57.48"	0.0637228959316424	595.839890329013	3.85208848220509e-07	0.00197588960897426	2.23248109305926	0.85282625820467
"2010.8.16.15.0.35"	0.00949679591808377	791.772413263694	4.69277531905528e-08	0.000457102441709245	1.3692825019135	0.680842456200831
"2010.8.16.15.12.2"	0.0228333892131269	1254.35517222055	1.03246900596071e-07	0.000507524321970301	1.65116131281618	0.708087631950582
"2010.8.16.15.16.28"	0.0133967841569086	950.907514950954	1.143636829248e-07	0.000538636127410181	1.53046868732674	0.721301827691293
"2010.8.16.17.16.56"	0.0109699346304977	485.587610427499	1.23207041148721e-08	0.000562362034719961	1.29925430906753	0.811342946331196
"2010.8.16.18.14.12"	0.025882209936244	941.384413111704	2.25900544113243e-08	0.000707382085801297	1.6827806035524	0.727898898476752
"2010.8.16.18.15.32"	0.0197750291551698	1187.4069149001	7.1780010645415e-08	0.000497056740114798	1.60101397054531	0.766436080225272
"2010.8.19.12.37.19"	0.0218673805327554	939.644912253163	9.78599171262416e-09	0.000661126627820783	1.63762667172131	0.801255346531354
"2010.8.21.23.54.30"	0.00662200688664059	1770.94897831621	1.07286344383399e-08	0.000299629786237871	1.53450964628094	0.612160868877089
"2010.8.25.13.25.15"	0.00728975527423568	1640.5388721123	1.74457943049498e-07	0.000245051590506405	1.4060706294647	0.615597182006217
"2010.8.9.6.10.55"	0.0178748312074115	878.951245764232	4.87980948778153e-05	0.0008223974082557	1.73626640299562	0.788082442676385
"2011.8.14.12.20.2"	0.0134537152142208	1241.72719059311	5.33869016485839e-06	0.000500772475092494	1.63165049782602	0.718966082047176
"2011.8.15.10.36.32"	0.0142661918915522	1104.28954334728	4.1558971036092e-08	0.00057060198867772	1.64210584316971	0.660110501425259
"2011.8.15.10.51.44"	0.00968424105775671	1371.86039772219	9.1335616086594e-08	0.000467547070555439	1.647745070221	0.680246391971066
"2011.8.15.11.3.42"	0.0213213612340305	1209.85937017125	1.33660909827986e-07	0.000508360628234466	1.63038027093986	0.695518370831339
