family mu A c p alpha beta
2009.11.12.6.12.19 0.178184812645923 32.756287371541 0.0403240000000156 3.16515294867646 0.296442160000636 0.805899199310656
2009.11.12.6.12.40 0.0102307323641888 32.4189528330729 0.040351999999988 3.31442797813599 0.126358567607646 0.798093178479406
2009.9.11.0.11.15 0.0262280227322409 34.7614161552544 0.0399120000000661 3.33645587877164 0.299986124190585 0.790359531537924
2009.9.12.20.50.43 0.016466446575412 37.9180773764183 0.0373149999999938 3.10541344064038 0.0346114174324364 0.728156394952029
2009.9.12.21.0.19 0.0293786517278224 134.637964406121 0.0388170000002136 6.59160096834799 0.141835760395152 0.726221622719503
2009.9.12.21.1.54 0.0239960678414803 42.7627696160192 0.0399860000000009 3.67159399199525 0.187676704004117 0.751450612648291
2009.9.12.21.4.29 0.0131563214954974 19.4165399916555 0.0392910000000089 3.36966675559051 0.468485721875964 0.785845781437166
2009.9.12.21.7.33 0.0141535442373762 26.7061443107454 0.0393640000000086 3.40060019819972 0.421385808945698 0.732969525467807
2009.9.12.21.8.27 0.0395783360717776 5.29634733501517 0.0408330001801384 3.19615738642549 1.83029801130325 0.793632235253826
2010.3.17.17.24.4 0.0262647307354962 29.2768772958356 0.0348539999999967 3.22764065070502 0.132265659861228 0.706076669029553
2010.3.17.7.17.47 0.0699751184894944 29.2176666000951 0.039671000000004 3.35719740977912 0.220942739560359 0.709511928326524
2010.3.19.1.19.56 0.0119749890430385 50.1210971322105 0.0396950000000255 2.85830143727751 0.0276876188516171 0.711054559867868
2010.3.19.2.19.57 0.460707948311538 51.5394244573413 0.0403780000000057 2.88873515137838 0.0294376868397397 0.709935682571811
2010.5.16.15.30.36 0.107259308416867 69.7343784018867 0.0394710000000417 3.2504749960868 0.000331457223169883 0.849428726407155
2010.5.16.15.33.40 0.0483245786274509 48.47685582067 0.039936 3.9688631943527 0.0039190011436736 0.86192319261969
2010.7.24.23.35.24 0.03609157405204 26.9174874363755 0.0412180000000872 4.42179904855915 0.443295191417978 0.784829327232404
2010.8.10.12.11.46 0.0280995758765011 31.7343812189728 0.0410340000000254 3.51312753224622 0.0242312619005121 0.759816575610283
2010.8.10.5.10.52 0.0166347343416039 30.0653471216073 0.0399119999999815 4.3769905123511 0.577687699781179 0.785491973025986
2010.8.10.6.5.16 0.0237122753144729 35.9810542849537 0.0409800000001837 5.169748331455 0.206062995964767 0.708639604644924
2010.8.10.9.13.42 0.326546322045347 23.6213929880429 0.0402540000000518 4.41920847714164 0.100192713356384 0.725922647608211
2010.8.13.21.32.27 0.0286965598987172 33.4221241964794 0.0404840000000053 3.18258311289932 0.489341059365266 0.726876195523015
2010.8.13.22.48.23 0.0128364284473126 56.2294663735181 0.0311859999999962 3.11312768283319 0.0351565822422591 0.705661657527828
2010.8.14.22.55.49 0.0199050826892712 42.7457338497853 0.0377880000000243 3.44770322581478 0.0237267569311744 0.704894535336001
2010.8.15.12.40.2 0.261379108806686 6.1959894014092 0.0404690000025149 7.57376940604741 2.31237318746267 0.734582869085725
2010.8.15.13.42.57 0.00620854441985792 31.7973065576355 0.0377670000002007 3.25968049990997 0.333863277560378 0.709454478445049
2010.8.15.18.0.20 0.0265326976297715 27.6443142148882 0.0413650000000278 3.34049254570596 0.307448009300786 0.686884908330582
2010.8.15.21.15.46 0.0432237370696692 18.6511385248625 0.0358259999999328 3.44462935238708 0.918121156083473 0.70724507406365
2010.8.15.21.47.5 0.0202634295524235 44.8697476592036 0.0403649999999517 3.09964174474719 0.290192191419565 0.671767659623509
2010.8.15.21.53.27 0.0249215723937485 43.2634264051182 0.0407030000000192 3.01405846298587 0.284415771642808 0.675264281064708
2010.8.15.9.57.48 0.0334747768903559 36.6039616754916 0.0398480000000126 3.6861079732158 0.364982358068448 0.85282625820467
2010.8.16.15.0.35 0.0376936527402818 37.0568042160782 0.0392480000001194 3.38029133017105 0.152592604322682 0.680842456200831
2010.8.16.15.12.2 0.0234783151839705 3.3739918467916 7.58037464588855 26.8299342562136 0.00225474388552542 0.708087631950582
2010.8.16.15.16.28 0.0186496427837201 61.3827584732133 0.0388680000000987 2.99001272730289 0.00213121907267396 0.721301827691293
2010.8.16.17.16.56 0.063598506596636 23.3239602142145 0.0372840000000086 3.12019551737261 0.00398181836729497 0.811342946331196
2010.8.16.18.14.12 0.0283184269990876 46.6939195791895 0.0402550000000275 3.3583871829079 0.00583309209934518 0.727898898476752
2010.8.16.18.15.32 0.156687431104197 15.889476656088 0.0401139999999905 3.51622825975908 0.904138350201646 0.766436080225272
2010.8.19.12.37.19 0.190914640244033 11.6030526846976 0.0399110000000203 3.36048521719763 1.24180012644665 0.801255346531354
2010.8.21.23.54.30 0.00190312731315028 2.83799962670582 0.0369920000000398 2.50859384228513 1.44031176033337 0.612160868877089
2010.8.25.13.25.15 0.00482525138168264 27.7230459924351 0.032841999999967 2.84019043313004 0.241767123534996 0.615597182006217
2010.8.9.6.10.55 6.12375939197735 21163.0734979177 0.0447384810881365 131.359027866116 0.0318097443283002 0.788082442676385
2011.8.14.12.20.2 0.013423888084914 6.36671610810911 0.0403739999999348 3.53154337125156 1.55703275290872 0.718966082047176
2011.8.15.10.36.32 0.0204193926216091 84.4273116479807 0.0408080000000115 3.09108875628083 0.043056714098403 0.660110501425259
2011.8.15.10.51.44 0.0287254700048492 40.5580181670907 0.0361130000000066 3.43375683778535 0.20023001972656 0.680246391971066
2011.8.15.11.3.42 0.0149998916086201 13.7752357121004 0.0397470000001097 3.05750600741705 0.857726448420183 0.695518370831339
2011.8.15.14.18.10 0.00995361882880209 10.2842423397691 0.0441888887890174 1.50571910580891 0.00910323190791586 0.670753631800237
2011.8.15.8.15.48 0.0314441895461991 44.4808545770789 0.0387519999999353 3.28797313001817 0.128514437032582 0.716952332841936
2011.8.16.1.28.14 0.0717401560866068 26.8802815976597 0.0394760000000367 3.48491513182357 0.614342147204248 0.746713424112226
2011.8.16.13.2.32 0.00781646950998708 28.0855799954648 0.0407930000000093 2.78467076323243 0.174132287805868 0.652050794089406
2011.8.16.13.2.46 0.0329355835243053 0.0306433762925466 0.0364230000046623 1.67342383577394 4.11489640248979 0.68493975426055
2011.8.16.16.37.55 0.00787387783927796 24.7214406553132 0.0379590000000008 3.29593503973303 0.177172742121909 0.698652007399104
2011.8.16.22.58.7 0.133962454202774 38.4607921669324 0.0405829999999736 3.59398877438175 0.0682359372621902 0.744779724789477
2011.8.16.23.37.43 0.0276963669163948 22.2825176802498 0.0328800000000345 2.72965698088974 0.309454482607364 0.6687153101742
2011.8.16.4.31.10 0.0200532384724438 30.2759346984665 0.0347830000000048 3.51399508283792 0.163737883583137 0.723526493050875
2011.8.16.7.16.56 0.0334280236037197 36.8047531831577 0.0381350000000141 3.01518736932785 0.114962511406185 0.738110558009377
2011.8.17.11.55.20 0.0289099533296559 33.5280649130524 0.0407230000000295 3.10714714201437 0.169874864228999 0.677582359039652
2011.8.17.20.55.11 0.000849255750653971 12.821118359711 0.0378650007823355 5.1721256516746 0.00329373794599226 0.726805503112243
2011.8.17.3.7.4 0.0143990141156159 50.4244214064993 0.0370209999999937 3.80795164279317 0.0641784657874802 0.653972200309268
2011.8.17.7.5.45 0.0269446063965306 44.5610004307687 0.0409120000000509 3.0249409328011 0.252735644636624 0.678712926942549
2011.8.18.0.16.17 0.0175265442891768 30.2439152876271 0.0389610000000328 3.53911845648203 0.457495325133252 0.655889170819234
2011.8.18.1.6.34 0.027767646839353 42.219918950431 0.0398740000000226 3.10522329803178 0.16299752863443 0.667698428954838
2011.8.18.15.37.30 0.00904606920246079 30.0301556717569 0.0369240000000632 3.823238624001 0.428380802829098 0.637158388314666
2011.8.18.15.40.4 0.0271043485269873 46.6324870324156 0.0348980000000203 3.44685847554848 0.0210001354587208 0.638458460153498
2011.8.18.2.0.51 0.0704422329296959 36.8250054022976 0.0387250000000069 3.33191889327334 0.300465698521561 0.648602388650051
2011.8.18.2.1.46 0.108284760194819 34.8424334643206 0.0393800000012027 2.51747805082297 0.0590155676804523 0.651071702234988
2011.8.18.21.2.39 0.00882589996909315 16.9584971864342 0.0371660000000433 3.92462690395116 0.944820761699197 0.67178318415284
2011.8.19.1.36.43 0.175867646902949 30.7133926226671 0.0347630000000618 3.26507512237759 0.0983242355290901 0.675332585894069
